,Number of wrong bit(H=0.10),payoff(H=0.10),Number of wrong bit(H=0.20),payoff(H=0.20),Number of wrong bit(H=0.30),payoff(H=0.30),Number of wrong bit(H=0.40),payoff(H=0.40),Number of wrong bit(H=0.50),payoff(H=0.50),pure online,best price
0,0.0,859.8099999999995,0.0,859.8099999999995,0.0,859.8099999999995,0.0,859.8099999999995,0.0,859.8099999999995,477.58500000000004,977.1200000000001
1,1.0,820.8349999999997,1.0,779.7010499999996,1.0,732.13925,1.0,678.8915,1.0,615.2463999999997,477.58500000000004,977.1200000000001
2,2.0,776.2779499999996,2.0,731.9715499999996,2.0,624.2820499999999,2.0,564.1563499999996,2.0,492.0896499999999,477.58500000000004,977.1200000000001
3,3.0,767.9395499999997,3.0,672.7680999999997,3.0,557.2730999999998,3.0,497.7023499999999,3.0,432.9914,477.58500000000004,977.1200000000001
4,,,4.0,648.0037499999997,4.0,539.5651999999998,4.0,478.2602999999999,4.0,403.68570000000005,477.58500000000004,977.1200000000001
5,,,5.0,627.0153999999997,5.0,508.8891999999999,5.0,449.2432500000001,5.0,392.13665000000003,477.58500000000004,977.1200000000001
6,,,,,6.0,494.2888499999999,6.0,438.1932999999999,6.0,380.62074999999993,477.58500000000004,977.1200000000001
7,,,,,7.0,472.3119999999999,7.0,422.85720000000003,7.0,366.74490000000003,477.58500000000004,977.1200000000001
8,,,,,8.0,462.3322999999999,8.0,411.54800000000006,8.0,354.98660000000007,477.58500000000004,977.1200000000001
9,,,,,,,9.0,399.81665,9.0,344.2088,477.58500000000004,977.1200000000001
10,,,,,,,10.0,386.93764999999996,10.0,333.7956499999999,477.58500000000004,977.1200000000001
11,,,,,,,,,11.0,327.00699999999995,477.58500000000004,977.1200000000001
12,,,,,,,,,12.0,322.08729999999997,477.58500000000004,977.1200000000001
13,,,,,,,,,13.0,320.29999999999995,477.58500000000004,977.1200000000001
